version,run,status,params,note,dev_cagr,dev_sharpe,dev_sortino,dev_max_dd,dev_turnover,val_cagr,val_sharpe,val_max_dd,dev_cagr_20bps,error
v1,1,error,"{""mom_window"":63,""top_n"":2}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,2,error,"{""mom_window"":63,""top_n"":3}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,3,error,"{""mom_window"":63,""top_n"":4}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,4,error,"{""mom_window"":126,""top_n"":2}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,5,error,"{""mom_window"":126,""top_n"":3}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,6,error,"{""mom_window"":126,""top_n"":4}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,7,error,"{""mom_window"":189,""top_n"":2}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,8,error,"{""mom_window"":189,""top_n"":3}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,9,error,"{""mom_window"":189,""top_n"":4}","v1 baseline sweep with mom_window in (63,126,189) and top_n in (2,3,4), other params default.",,,,,,,,,,"ValueError: Invalid frequency: M. Failed to parse with error message: ValueError(""'M' is no longer supported for offsets. Please use 'ME' instead."")"
v1,10,ok,"{""top_n"":2,""mom_window"":126}","Last 3 allowed configs due to earlier resample bug, as specified",0.0648,0.4779,0.6599,-0.2757,11.6596,0.1005,0.5424,-0.2954,0.0524,
v1,11,ok,"{""top_n"":3,""mom_window"":126}","Last 3 allowed configs due to earlier resample bug, as specified",0.0648,0.5003,0.6922,-0.2576,11.7607,0.0943,0.5298,-0.2901,0.0524,
v1,12,ok,"{""top_n"":4,""mom_window"":126}","Last 3 allowed configs due to earlier resample bug, as specified",0.0601,0.4773,0.6593,-0.2628,11.7731,0.0882,0.5078,-0.3019,0.0477,
v2,1,ok,"{""vol_threshold"":0.2}",Momentum strategy with volume ratio and realized volatility filter with varying vol_threshold.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
v2,2,ok,"{""vol_threshold"":0.25}",Momentum strategy with volume ratio and realized volatility filter with varying vol_threshold.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
v2,3,ok,"{""vol_threshold"":0.3}",Momentum strategy with volume ratio and realized volatility filter with varying vol_threshold.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
v2,4,ok,"{""vol_threshold"":0.2}","volatility filter, volume-ratio bug fixed (mean not sum, close not adj_close)",0.0576,0.4673,0.653,-0.33,11.1974,0.0339,0.2697,-0.2954,0.0458,
v2,5,ok,"{""vol_threshold"":0.25}","volatility filter, volume-ratio bug fixed (mean not sum, close not adj_close)",0.0682,0.5062,0.7026,-0.3483,11.0568,0.0723,0.4488,-0.2954,0.0565,
